"db_ref","process_id","year","donorcode","donorname","agencycode","agencyname","crsid","projectnumber","initialreport","recipientcode","recipientname","regioncode","regionname","incomegroupcode","incomegroupname","flowcode","flowname","bi_multi","category","finance_t","aid_t","usd_commitment","usd_disbursement","usd_received","usd_commitment_defl","usd_disbursement_defl","usd_received_defl","usd_adjustment","usd_adjustment_defl","usd_amountuntied","usd_amountpartialtied","usd_amounttied","usd_amountuntied_defl","usd_amountpartialtied_defl","usd_amounttied_defl","usd_irtc","usd_expert_commitment","usd_expert_extended","usd_export_credit","currencycode","commitment_national","disbursement_national","grantequiv","usd_grantequiv","shortdescription","projecttitle","purposecode","purposename","sectorcode","sectorname","channelcode","channelname","channelreportedname","parentchannelcode","geography","expectedstartdate","completiondate","longdescription","sdgfocus","keywords","gender","environment","pdgg","trade","rmnch","drr","nutrition","disability","ftc","pba","investmentproject","assocfinance","biodiversity","climatemitigation","climateadaptation","desertification","commitmentdate","typerepayment","numberrepayment","interest1","interest2","repaydate1","repaydate2","usd_interest","usd_outstanding","usd_arrears_principal","usd_arrears_interest","capitalexpend","psiflag","psiaddtype","psiaddassess","psiadddevobj","ldcflag","ldcflagname","source"
"df_248",580,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003586","ST0608802",1,9998,"Bilateral, unspecified",15006,"Regional and Unspecified",10024,"Part I unallocated by income",11,"ODA Grants",1,10,110,"",0.00741,0.00741,0,0.008357,0.008357,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00741,0.00741,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_249",581,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003587","ST0608810",1,9998,"Bilateral, unspecified",15006,"Regional and Unspecified",10024,"Part I unallocated by income",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_354",908,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003403","ST0608851",1,256,"Mauritania",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.01737,0.01737,0,0.019591,0.019591,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01737,0.01737,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_372",958,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006002569","ST0623561",1,259,"Mozambique",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.15238,0.15238,0,0.171863,0.171863,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.15238,0.15238,NA,NA,"INTEGRATED EXPERTS","Integrated Experts",16062,"Statistical capacity building",160,"I.6. Other Social Infrastructure & Services",10000,"Public Sector Institutions","Public sector",10000,"","","","Integrated Experts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purpose code: statistical capacity building"
"df_459",1150,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003702","ST0608968",1,247,"Côte d'Ivoire",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.01948,0.01948,0,0.021971,0.021971,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01948,0.01948,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15160,"Human rights",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_470",1185,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003407","ST0608893",1,232,"Chad",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.01736,0.01736,0,0.01958,0.01958,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01736,0.01736,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_471",1188,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003410","ST0608935",1,272,"Sierra Leone",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.0222,0.0222,0,0.025038,0.025038,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.0222,0.0222,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_472",1191,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003411","ST0608950",1,247,"Côte d'Ivoire",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.05207,0.05207,0,0.058728,0.058728,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.05207,0.05207,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_473",1192,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003412","ST0608976",1,241,"Ghana",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.0188,0.0188,0,0.021204,0.021204,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.0188,0.0188,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_474",1193,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003413","ST0609008",1,283,"Togo",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.05207,0.05207,0,0.058728,0.058728,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.05207,0.05207,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
