commitmentdate,donorname_survey,projecttitle,recipientname,nsds,role,collaborators,csa,support_type,usd_costestimate,usd_commitment,isocode,recipientcode,regionid,regionname,iso3n,recipientname,source,db_ref,usd_disbursement
2017,International Monetary Fund - IMF,African Region - Technical Assistance during FY 2018,"Africa, regional",Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","2,921,125",2921125,NA,202105,14,"Africa, regional",NA,Regional,survey,imf_1_2018_Regional,2921125
2017,International Monetary Fund - IMF,AFRITAC Central - Technical Assistance during FY 2018,"Central Africa, regional",Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","628,530",628530,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_2_2018_Regional,628530
2017,International Monetary Fund - IMF,AFRITAC East - Technical Assistance during FY 2018,"Eastern Africa, regional",Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","912,879",912879,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_3_2018_Regional,912879
2017,International Monetary Fund - IMF,AFRITAC South - Technical Assistance during FY 2018,"Southern Africa, regional",Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","698,247",698247,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_4_2018_Regional,698247
2017,International Monetary Fund - IMF,AFRITAC West - Technical Assistance during FY 2018,"Western Africa, regional",Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","831,953",831953,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_5_2018_Regional,831953
2017,International Monetary Fund - IMF,AFRITAC West 2 - Technical Assistance during FY 2018,"Western Africa, regional",Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","573,262",573262,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_6_2018_Regional,573262
2017,International Monetary Fund - IMF,BCEAO-CB Etats L'Afrique L'Ouest - Technical Assistance during FY 2018,"Western Africa, regional",Yes,Lead donor,NA,2.4.6; ,"Technical assistance (technical expertise, consultant services)","37,769",37769,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_7_2018_Regional,37769
2017,International Monetary Fund - IMF,BEAC-Banque Etats L'Afrique Centrl - Technical Assistance during FY 2018,"Central Africa, regional",Yes,Lead donor,NA,2.4.6; ,"Technical assistance (technical expertise, consultant services)","19,041",19041,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_8_2018_Regional,19041
2017,International Monetary Fund - IMF,CEMAC - Com. Econ. Mon. AFR Cent. - Technical Assistance during FY 2018,"Central Africa, regional",Yes,Lead donor,NA,2.4.6; ,"Technical assistance (technical expertise, consultant services)","22,587",22587,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_9_2018_Regional,22587
2017,International Monetary Fund - IMF,East African Community - Technical Assistance during FY 2018,"Eastern Africa, regional",Yes,Lead donor,NA,2.5; 2.4.6; ,"Technical assistance (technical expertise, consultant services)","48,465",48465,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_10_2018_Regional,48465
