current_names,full_names_unified,short_names,merged_names
Nordic Development Fund,Nordic Development Fund,,Nordic Development Fund
UNEP,United Nations Environment Programme,UNEP,UNEP - United Nations Environment Programme
Global Environment Facility,Global Environment Facility,,Global Environment Facility
Montreal Protocol,Montreal Protocol,,Montreal Protocol
The World Bank,The World Bank,,The World Bank
Multilateral Investment Guarantee Agency,Multilateral Investment Guarantee Agency,,Multilateral Investment Guarantee Agency
Caribbean Development Bank,Caribbean Development Bank,,Caribbean Development Bank
International Monetary Fund - IMF,International Monetary Fund,IMF,IMF - International Monetary Fund
Inter-American Development Bank,Inter-American Development Bank,,Inter-American Development Bank
African Development Bank,African Development Bank,,African Development Bank
African Development Fund,African Development Fund,,African Development Fund
Asian Development Bank,Asian Development Bank,,Asian Development Bank
Arab Fund (AFESD),Arab Fund for Economic and Social Development,AFESD,AFESD - Arab Fund for Economic and Social Development
UN Peacebuilding Fund,United Nations Peacebuilding Fund,,UN Peacebuilding Fund
Council of Europe,Council of Europe,,Council of Europe
World Health Organisation,World Health Organisation,WHO,WHO - World Health Organisation
Food and Agriculture Organisation,Food and Agriculture Organisation,FAO,FAO - Food and Agriculture Organisation
International Labour Organisation,International Labour Organisation,ILO,ILO - International Labour Organisation
International Atomic Energy Agency,International Atomic Energy Agency,IAEA,IAEA - International Atomic Energy Agency
UNECE,United Nations Economic Commission for Europe,UNECE,UNECE - United Nations Economic Commission for Europe
OPEC Fund for International Development,OPEC Fund for International Development,,OPEC Fund for International Development
OAPEC,Organization of Arab Petroleum Exporting Countries,OAPEC,OAPEC - Organization of Arab Petroleum Exporting Countries
Arab Bank for Economic Development in Africa,Arab Bank for Economic Development in Africa,,Arab Bank for Economic Development in Africa
Special Arab Aid Fund for Africa,Special Arab Aid Fund for Africa,,Special Arab Aid Fund for Africa
IMF Trust Fund,International Monetary Fund,IMF,IMF - International Monetary Fund
UNDP,United Nations Development Programme,UNDP,UNDP - United Nations Development Programme
UNTA,United Nations Transitional Authority,UNTA,UNTA - United Nations Transitional Authority
UNICEF,United Nations Children's Fund,UNICEF,UNICEF - United Nations Children's Fund
UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UNRWA,UNRWA - United Nations Relief and Works Agency for Palestine Refugees in the Near East
WFP,World Food Programme,WFP,WFP - World Food Programme
UNHCR,United Nations High Commissioner for Refugees,UNHCR,UNHCR - United Nations High Commissioner for Refugees
UNAIDS,United Nations Programme on HIV/AIDS,UNAIDS,UNAIDS - United Nations Programme on HIV/AIDS
UNFPA,United Nations Population Fund,UNFPA,UNFPA - United Nations Population Fund
Islamic Development Bank,Islamic Development Bank,,Islamic Development Bank
OSCE,Organization for Security and Co-operation in Europe,OSCE,OSCE - Organization for Security and Co-operation in Europe
Islamic Monetary Fund,Islamic Monetary Fund,,Islamic Monetary Fund
Arab Fund for Technical Assistance to African and Arab Countries,Arab Fund for Technical Assistance to African and Arab Countries,,Arab Fund for Technical Assistance to African and Arab Countries
Black Sea Trade & Development Bank,Black Sea Trade and Development Bank,,Black Sea Trade & Development Bank
GODE,Government Office for Development and European Cohesion Policy,GODE,GODE - Government Office for Development and European Cohesion Policy
Other Arab Agencies,Other Arab Agencies,,Other Arab Agencies
IFAD,International Fund for Agricultural Development,IFAD,IFAD - International Fund for Agricultural Development
European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,EBRD,EBRD - European Bank for Reconstruction and Development
UN AGENCIES,United Nations agencies,,UN AGENCIES
Global Partnership for Education,Global Partnership for Education,,Global Partnership for Education
Climate Investment Funds,Climate Investment Funds,,Climate Investment Funds
Adaptation Fund,Adaptation Fund,,Adaptation Fund
Council of Europe Development Bank,Council of Europe Development Bank,,Council of Europe Development Bank
Private Infrastructure Development Group,Private Infrastructure Development Group,,Private Infrastructure Development Group
Development Bank of Latin America,Development Bank of Latin America,,Development Bank of Latin America
Green Climate Fund,Green Climate Fund,,Green Climate Fund
Credit Guarantee and Investment Facility,Credit Guarantee and Investment Facility,,Credit Guarantee and Investment Facility
Global Energy Efficiency and Renewable Energy Fund,Global Energy Efficiency and Renewable Energy Fund,,Global Energy Efficiency and Renewable Energy Fund
IDB Invest,IDB Invest,,IDB Invest
Central Emergency Response Fund,Central Emergency Response Fund,,Central Emergency Response Fund
World Tourism Organisation,World Tourism Organisation,,World Tourism Organisation
Asian Infrastructure Investment Bank,Asian Infrastructure Investment Bank,AIIB,AIIB - Asian Infrastructure Investment Bank
Center of Excellence in Finance,Center of Excellence in Finance,,Center of Excellence in Finance
International Investment Bank,International Investment Bank,,International Investment Bank
UN Institute for Disarmament Research,United Nations Institute for Disarmament Research,,UN Institute for Disarmament Research
Global Alliance for Vaccines and Immunization,Global Alliance for Vaccines and Immunization,,Global Alliance for Vaccines and Immunization
Global Fund,Global Fund,,Global Fund
Global Green Growth Institute,Global Green Growth Institute,,Global Green Growth Institute
