isocode,sids
ASM,Small island developing States (SIDS)
AIA,Small island developing States (SIDS)
ATG,Small island developing States (SIDS)
ABW,Small island developing States (SIDS)
BHS,Small island developing States (SIDS)
BRB,Small island developing States (SIDS)
BLZ,Small island developing States (SIDS)
BES,Small island developing States (SIDS)
VGB,Small island developing States (SIDS)
CPV,Small island developing States (SIDS)
COM,Small island developing States (SIDS)
COK,Small island developing States (SIDS)
CUB,Small island developing States (SIDS)
CUW,Small island developing States (SIDS)
DMA,Small island developing States (SIDS)
DOM,Small island developing States (SIDS)
FJI,Small island developing States (SIDS)
PYF,Small island developing States (SIDS)
GRD,Small island developing States (SIDS)
GUM,Small island developing States (SIDS)
GNB,Small island developing States (SIDS)
GUY,Small island developing States (SIDS)
HTI,Small island developing States (SIDS)
JAM,Small island developing States (SIDS)
KIR,Small island developing States (SIDS)
MDV,Small island developing States (SIDS)
MHL,Small island developing States (SIDS)
MUS,Small island developing States (SIDS)
FSM,Small island developing States (SIDS)
MSR,Small island developing States (SIDS)
NRU,Small island developing States (SIDS)
NCL,Small island developing States (SIDS)
NIU,Small island developing States (SIDS)
MNP,Small island developing States (SIDS)
PLW,Small island developing States (SIDS)
PNG,Small island developing States (SIDS)
PRI,Small island developing States (SIDS)
KNA,Small island developing States (SIDS)
LCA,Small island developing States (SIDS)
VCT,Small island developing States (SIDS)
WSM,Small island developing States (SIDS)
STP,Small island developing States (SIDS)
SYC,Small island developing States (SIDS)
SGP,Small island developing States (SIDS)
SXM,Small island developing States (SIDS)
SLB,Small island developing States (SIDS)
SUR,Small island developing States (SIDS)
TLS,Small island developing States (SIDS)
TON,Small island developing States (SIDS)
TTO,Small island developing States (SIDS)
TUV,Small island developing States (SIDS)
VIR,Small island developing States (SIDS)
VUT,Small island developing States (SIDS)
