text_id,projecttitle,P21,d4d
10053,"Multilateral Org P0265 Improving Collation, Availability, DISSEM. of Nat Dev Inc MDG Indicators",x,x
26526,"MEASURE Phase III, Demographic and Health Surveys (DHS) - Program Design and Learning",x,x
30555,Support to Pakistan Demographic and Health Survey (PDHS) 2017-18,x,x
21614,Support for peacebuilding data UNDP DRC - Support for peacebuilding data,x,x
2632,"The Statistical, Economic and Social Research and Training Centre for Islamic Countries (SESRIC) - Ankara",x,x
2743,Population and Develpment,x,x
14238,OUTPUT 4.3: POLICY PROBLEM SOLVING (GRP),x,x
15879,Spatial data science for seasonal malaria risk mapping at sub-national levels in Kenya,x,x
26792,Cross  Border Trade (CBT) survey for DEC 039-319,x,x
1015,STATISTICAL CAPACITY BULIDING,x,NA
10859,Project for Establishment of Law Information System,x,x
13708,"NPA Unexploded Ordnance (UXO) Survey and Clearance, Palau",x,x
25621,Preparation of technical specifications and tender dossier under the project ''Forecasting and NES data management'' (IPA 2008),x,NA
21788,Demographic and Health Surveys Phase 7 (DHS-7) - HIV/AIDS,x,x
28852,CAPACITY BUILDING FOR ECONOMIC MANAGEMENT PROJECT,x,x
20347,Output 13: Analysis on population dynamics,x,x
24809,Spport to Sub-Nationla Budget Transparency Survey of 36 States in Nigeria - A Grant to Civil Resource Development and Documentation Centre (CIRDDOC).,x,x
431,DCO Survey EU MS Education,x,x
18374,Data quality and accounting assistance,x,NA
21788,Demographic and Health Surveys Phase 7 (DHS-7),x,x
24088,Emergency Demobilization and Reintegration Project,x,x
10913,Institutional support to INE 2007-2012,x,x
20655,,x,x
31639,DATA-DENT (Data for Decisions to Expand Nutrition Transformation): An ini,x,x
9747,Department of Statistics (STATISTICS),x,NA
14360,Information System on Voluntary Sustainability Standards,x,x
31809,Support for the United Nations Secretary General's Indpendent Expert Advisory Group on 'Data Revolution for Development',x,NA
20300,Output 13: Analysis on population dynamics,x,x
12893,Poverty and MDG Monitoring and,x,NA
9667,Labour law global data collection and tools,x,x
21788,Demographic and Health Surveys Phase 7 (DHS-7) - Program Design and Learning,x,x
4683,National indigenous information system,x,x
27157,Social Investment Fund Project (SIF),x,x
10119,Support to National Statistics Committee/WB,x,NA
21353,Turkey Land Registration and Cadastre Modernization Project,x,x
23467,"NATIONAL RURAL INFRASTRUCTURE PROJECT",x,x
18448,"10SER01/13/21, SERVICES FOR THE SUPERVISION OF THE SURVEY AND REMOVAL OF UNEXPLODED ORDNANCE (UXO) FROM THE DANUBE RIVER",x,x
12937,A comprehensive survey of protein-protein interactions between Plasmodium falciparum merozoites and human receptors,x,x
10888,Statistical co-operation,x,x
31390,REVIEW OF PROJECT ON PEACE AND HARMONY IN THE SAARC REGION,x,x
5036,Department of Statistics (STATISTICS),x,x
20290,Agriculture Census 2020,x,x
19689,Population and Develpment,x,x
9672,Support the effective functioning of the Republican Tripartite Commission and the creation of a social dialogue database for the registration of colle,x,x
14258,International Working Group on Sri Lanka: Cataloguing project and database construction,x,x
9684,"ILO Country Office for Nigeria, Ghana, Liberia and Sierra Leone (CO-Abuja)",x,x
273,"AC_640_4.1.1 Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts.",x,x
26526,"MEASURE Phase III, Demographic and Health Surveys (DHS) - Nutrition",x,x
13098,Mine Action and Explosive Remnants of War (ERW) Non-Technical Survey and Technical Survey leading to Land Release in Bosnia and Herzegovina,x,x
33424,Volcano Disaster Assistance Program Inter-Agency Agreement with U.S. Geological Survey,x,x
11505,KOICA-ESCAP Joint Fellowship Programme on Geospatial Data Management for,x,NA
30187,Microfinance and ICTs: Free and Open Source Management Information Systems Implementation Development Phase II,x,x
