Organization,Country,language,ngram1,ngram2,ngram3,ngram4
Central Statistics Organization of Afghanistan,Afghanistan,en,Central Statistics,Statistics Afghanistan,,
Office Nationale des Statistiques,Algeria,fr,Nationale Statistiques,Statistiques Algérie,,
Instituto Nacional de Estatistica (INE),Angola,es,Nacional Estatistica,,,
Anguilla Statistics Department,Anguilla,en,Statistics Department,,,
Ministry of Finance and Economy,Antigua and Barbuda,,,,,
Instituto nacional de Estadistica y Censos (INDEC),Argentina,es,nacional Estadistica,Estadistica Censos,,INDEC
National Statistical Service of the Republic of Armenia,Armenia,en,National Statistical,Statistical Service,,
Central Bureau of Statistics,Aruba,en,Bureau Statistics,,,
Australian Bureau of Statistics (ABS),Australia,en,Bureau Statistics ,,,
Statistics Austria,Austria,en,Statistics Austria,,,
State Committee of Republic of Azerbaijan on Statistics,Azerbaijan,en,Azerbaijan Statistics,,,
Department of Statistics,Bahamas,en,Department Statistics,,,
General Directorate of Statistics & Population Registry,Bahrain,en,Directorate Statistics,Statistics Population,Population Registry,
Bangladesh Bureau of Statistics,Bangladesh,en,Bureau Statistics,,,
Barbados Statistical Service,Barbados,en,Barbados Statistical,Statistical Service,,
National Statistical Committee of the Republic of Belarus,Belarus,en,National Statistical,Statistical Committee,,
Statistics Belgium,Belgium,en,Statistics Belgium,,,
Statistical Institute of Belize,Belize,en,Statistical Institute,,,
Institut National de la Statistique et de l'Analyse Economique (INSAE),Benin,fr,National Statistique,,,INSAE
Department of Statistics,Bermuda,en,Department Statistics,,,
Bhutan National Statistical Bureau,Bhutan,,,,,
Brazilian Institute of Geography and Statistics (IBGE),Brazil,en,,,,IBGE
Department of Development Planning Unit,British Virgin Islands,,,,,
Agency for Statistics of Bosnia and Herzegovina,Bosnia and Herzegovina,en,Agency Statistics,Statistics Bosnia ,,
Central Statistical Office (CSO),Botswana,en,Central Statistical,Statistical Office,,
Department of Economic Planning and Development,Brunei Darussalam,,,,,
National Statistical Institute of Bulgaria,Bulgaria,en,Statistical Institute ,,,
l’Institut national de la statistique et de la démographie (INSD),Burkina Faso,fr,,,,INSD
Institut de Statistiques et d'Etudes Economiques du Burundi (ISTEEBU),Burundi,fr,,,,ISTEEBU
Instituto Nacional de Estatistica,Cabo Verde,,,,,
National Institute of Statistics,Cambodia,,,,,
Institut National de la Statistique (INS),Cameroon,,,,,
Statistics Canada,Canada,en,Statistics Canada,,,
Economics and Statistics Office,Cayman Islands,,,,,
Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales (ICASEES),Central African Republic,fr,Centrafricain Statistiques,Statistiques Etudes,,ICASEES
Institut national de la statistique et des études économiques (INSEE),Chad,fr,,,,INSEE
Instituto Nacional de Estadisticas (INE),Chile,es,Nacional Estadisticas,,,
National Bureau of Statistics (NBS),"China, People's Republic of",en,Bureau Statistics,,,
Departamneto encargado de las estadísticas en Colombia (DANE),Colombia,es,estadísticas Colombia ,,,DANE
Direction Nationale de la Statistique,Comoros,,,,,
Institut National de la Statistique,Congo,,,,,
Institut National de la Statistique,"Congo, Democratic Republic of",,,,,
Statistics Office,Cook Islands,,,,,
Instituto Nacional de Estadistica y Censos (INEC),Costa Rica,es,,,,INEC
Institut National de la Statistique,Côte d'Ivoire,,,,,
Central Bureau of Statistics of the Republic of Croatia,Croatia,,,,,
Oficina Nacional de Estadisticas (ONE),Cuba,,,,,
Central Bureau of Statistics,Curaçao,,,,,
Statistical Service of Cyprus,Cyprus,,,,,
Czech Statistical Office,Czech Republic,,,,,
Statistics Denmark,Denmark,en,Statistics Denmark,,,
Direction de la statistique et des études démographiques,Djibouti,fr,Direction statistique,statistique études,études démographiques,
Oficina Nacional de Estadistica de la Republica Dominicana,Dominican Republic,es,Estadistica Republica,,,
Instituto Nacional de Estadística y Censos (INEC),Ecuador,es,Estadística Censos,,,INEC
Central Agency for Public Mobilisation and Statistics (CAPMAS),Egypt,en,Mobilisation Statistics,,,CAPMAS
Direccion General de Estadistica y Censos (DIGESTYC),El Salvador,es,General Estadistica,,,DIGESTYC
Institut national de la statistique de la République de Guinée équatoriale (INEGE),Equatorial Guinea,fr,statistique République ,,,INEGE
Central Statistical Office,Eritrea,en,Statistical Office,,,
Statistical Office,Estonia,,,,,
Central Statistical Agency,Ethiopia,en,Central Statistical,Statistical Agency,,
National Statistical office,Fiji,,,,,
Statistics Finland,Finland,en,Statistics Finland,,,
State Statistical Office of the Republic of Macedonia,Former Yugoslav Republic of Macedonia,en,State Statistical,,,
Institut national de la statistique et des études économiques (INSEE),France,fr,INSEE,,,
Statistics Institute of French Polynesia,French Polynesia,en,Statistics Institute,,,
Gabon Ministère de l'economie et de la prospective,Gabon,,,,,
Gambia Bureau of Statistics (GBoS),Gambia,en,,,,GBoS
National Statistics Office of Georgia,Georgia,,,,,
Federal Statistical Office,Germany,en,Federal Statistical,,,
Ghana Statistical Service,Ghana,en,Ghana Statistical,Statistical Service,,
National Statistical Service of Greece,Greece,,,,,
Statistics Greenland,Greenland,en,Statistics Greenland,,,
Central Statistical Office,Grenada,,,,,
Bureau of Statistics and Plans,Guam,en,Statistics Plans,,,
Instituto Nacional de Estadistica,Guatemala,,,,,
Office National de la Statistique,Guinea,,,,,
Institut national de la statistique,Guinea-Bissau,,,,,
Bureau of Statistics,Guyana,,,,,
