"";"db_ref";"objectives"
"1";"crs_ES-DIR3-EA0035768-Z01-20-I1-01600";""
"2";"crs_ES-DIR3-EA0035768-Z03-20-01-07100";"Intercoonecta 2020. Data-Pop Alliance. Fortalecimiento de capacidades técnicas en Bid Data. Intercoonecta 2020. Data-Pop Alliance. Fortalecimiento de capacidades técnicas y estudio exploratorio regional en Big Data para el d esarrollo sostenible enAmérica Latina y el Caribe."
"3";"crs_46002-P-CG-KF0-009";"The Capacity building support project for the Ministry of Planning, Statistics and Regional Integration (MPSIR) is part of the promotion of governance in the public sector which is one of the operational priorities of the Bank's 2013-2022 ten-year strategy. This is a grant to the Republic of Congo amounting to UA 791,400 and is financed by the Middle-Income Countries Technical Assistance Fund (MIC-TAF). The proposed technical assistance aims at supporting the efforts of the Congolese authorities to improve public institutional governance through the MPSIR and to enable the authorities to better monitor ongoing reforms and programmes. It will reduce the risks to the implementation of the programme and increase the chances of its success in an unfavourable economic context, but which also offers the country real opportunities to adopt structural reforms capable of sustainably cleaning up the economy and opening the way to successful economic diversification. The project has two components: (i) Support for the improvement of the public investment programming process with a view to providing technical assistance to the MPSIR, which is the ministerial structure responsible not only for steering and coordinating the implementation of the 2018-2022 NDP, but also for carrying out its regalian activities aimed at (a) investment programming and evaluation, (b) economic planning, (c) the production of statistical data, and (d) an endowment of computer and office equipment; (ii) Operationalisation of the project and programme monitoring and evaluation cell. It will be implemented over a period of three (3) years."
"4";"crs_46002-P-ER-KF0-003";"The Public Financial Management and Statistics Capacity Building Project improves public financial management and institutional capacity building. The project includes three main components. The first one is Strengthening Capacity for Public Financial Management which will include implementing and rolling out the modules of an Integrated Commercial - Off-the-Shelf (COTS) financial management system. On the second component, the project focuses on Enhancing Capacity for Debt Management through the installation of a debt management system; capacity building in debt management; provision of debt management infrastructure; provision of technical assistance for system development; including a debt management advisor; and technical training of staff. And the third one concerns the Strengthening Capacity for production of socio-economic statistics through support to the National Statistics Office (NSO) for socio-economic data collection, processing, storage and dissemination for the development of statistics and information systems."
"5";"crs_46002-P-SO-KF0-010";"The Somalia National Statistical Capacity Building Project is initiated by Government of the Republic of Somalia with the support of the African Development Bank. The project includes four components: (i) Institutional Development is to facilitate the establishment and transformation of the Statistics Departments through the formulation and implementation of National/regional statistical development strategies and Statistics Acts; (ii) Staff Training will be composed of two subcomponents; (iii) Information Communication Technology (ICT) is to facilitate the production and management of statistical data in the Statistics Departments on a sustainable basis; (iv) Project Management and Audit."
"6";"crs_46002-P-Z1-K00-099";""
"7";"crs_KE-KRA-P000634725S-2D39-CWDJ-5B";"FEMNET will provide funding, capacity building & ongoing technical support, to GROOTS in Kenya & FOWODE in Uganda to power data and evidence informed advocacy to fuel progress towards gender equality during implementation, follow up & review of SDGs.  Over the span of 2 years, this project will reach 1,640 primary beneficiaries & 150,000 secondary beneficiaries, since the project will link to global and regional influencing with stakeholders / audiences drawn from FEMNET membership across Africa."
"8";"crs_XM-DAC-6-4-012094";"Voluntary contribution to the International Monetary Fund for support to Somalia Country Fund for Capacity Development in Macroeconomic Policies and Statistics - Phase II (FY2021-2024).

"
"9";"crs_XM-DAC-6-4-012094-01-4";"The overall objective of the programme is to strengthen Somalia's capacity to implement sound macroeconomic policies and to help the country to reduce its debt in the context of of the HIPC initiative."
"10";"crs_XM-DAC-6-4-012066-02-5";"The project aims to support the Government of Kenya/KNBS in implementing the 8th National population and housing Census and to strenghten its capacity to produce, analyze, use and disseminate statistical data"
"11";"crs_XM-DAC-6-4-012066";"Support to the implementation of 2019 Population and housing census"
"12";"crs_US-EIN-32-0060251-2";"Strategic objective 2 (for Q1-Q2 2018 as per the 2016-2018 strategic plan)"
"13";"crs_NL-KVK-27327087-4000003036";"Initiative Données du Mali"
"14";"crs_NL-KVK-27327087-7800-6446";"Mobilising Data for Sustainable Development"
"15";"crs_DAC-1601-INV-001075";"to support ASER in generating learning outcomes data for primary and secondary students across India"
"16";"crs_DAC-1601-INV-001277";"to strengthen WHO's capabilities in data governance, by allowing the Data, Analytics and Delivery for Impact team (DDI) to recruit and support two roles that will continue the implementation of the transformation plans for this team"
"17";"crs_DAC-1601-INV-001600";"to develop and disseminate a tool to collect and analyze high-quality individual quantitative dietary data to inform nutrition and agriculture program design and policy making"
"18";"crs_DAC-1601-INV-002005";"to assess the state of neonatal infection control measures in a representative sample of hospitals across Africa"
"19";"crs_DAC-1601-INV-003171";"to conduct a survey of best practices in vector control surveillance as part of a landscaping work being done to develop a comprehensive vector control surveillance strategy"
"20";"crs_DAC-1601-INV-003216";"to explore a sustainable financing model for electronic Logistics Management Information Systems (eLMIS)"
"21";"crs_DAC-1601-INV-003316";"To disseminate and diffuse lessons and best practices from projects in several African countries to accelerate progress toward effective, country-owned national health information systems and improved use of health data"
"22";"crs_DAC-1601-INV-003659";"to use CHAMPS data to identify and mitigate meningitis infection. Data-to-Action Grant, Ethiopia. Investment start date: 11/6/2020 to end date: 12/31/2023. Grantee name: London School of Hygiene and Tropical Medicine"
"23";"crs_DAC-1601-INV-004071";"to support Charity Navigator build a new, more comprehensive nonprofit ratings system, with investment focused on creating a methodology and criteria to evaluate impact data reporting at scale"
"24";"crs_DAC-1601-INV-004142";"to convene leading Chinese Convene Corporate Foundations to adopt and improve impact-data infrastructure and results measurement"
"25";"crs_DAC-1601-INV-004551";"to develop a cloud-based privacy-friendly health data pipeline for health providers in developing counties with inadequate resources"
"26";"crs_DAC-1601-INV-004657";"to support the Western Cape Department of Health and the City of Cape Town to improve TB and HIV outcomes through scaling a package of data use cases, quality improvement and innovative approaches"
"27";"crs_DAC-1601-INV-004672";"to enable building platforms to collect and analyze animal health market data in Ethiopia and Kenya leading to better informed and more impactful investment decisions and getting closer to inclusive livestock transformation"
"28";"crs_DAC-1601-INV-004841";"to develop new machine learning approaches to understand human health. Data Science for Wearables and Public Health. Investment start date: 3/27/2020 to end date: 8/31/2022. Grantee name: University of Washington Foundation"
"29";"crs_DAC-1601-INV-005210";"to conduct analyses of existing quantitative and qualitative data in select geographies to elucidate the diverse nature of Child, Early, and Forced Marriage (CEFM) and its outcomes"
"30";"crs_DAC-1601-INV-005287";"to better understand how gender socialization in early adolescence occurs and how it shapes health and wellness for individuals and their communities"
"31";"crs_DAC-1601-INV-005393";"to support the ORCA Data for Planning Study. ORCA Data for Planning Study. Investment start date: 5/13/2020 to end date: 4/14/2021. Grantee name: University of Washington"
"32";"crs_DAC-1601-INV-005587";"to analyze data from the Better Birth trial for insights into the relationship between labor and delivery interventions and determinants of vulnerability"
"33";"crs_DAC-1601-INV-005618";"to leverage World Bank loans and support for statistical operations to engender surveys and statistical systems"
"34";"crs_DAC-1601-INV-005945";"to support a Census Equity Fund evaluation. Census Equity Fund Evaluation #PNWCO. Investment start date: 8/31/2020 to end date: 8/31/2021. Grantee name: Philanthropy Northwest"
"35";"crs_DAC-1601-INV-006162";"to support the use of GRID3 resources for improved health system planning. Exemplar utilization of GRID3 data in countries. Investment start date: 10/28/2020 to end date: 11/1/2022. Grantee name: Clinton Health Access Initiative Inc"
"36";"crs_DAC-1601-INV-015786";"to improve health campaign planning and population health monitoring by developing a web-based tool that takes existing road network and population data to identify the closest health facility for each area based on type and time of travel"
"37";"crs_DAC-1601-INV-015921";"to advance Canadian Leadership in international family planning through public engagement, and data support"
"38";"crs_DAC-1601-INV-015985";"to strengthen national data reporting for the CAADP biennial review process. ReSAKSS: Biennial Review and Data Systems Strengthening. Investment start date: 11/17/2020 to end date: 10/31/2024. Grantee name: AKADEMIYA2063"
"39";"crs_DAC-1601-INV-015990";"to increase the capacity of National Statistics Offices in LICs so that they are better able to collect and analyze data for the primary purposes of reporting against CAADP and SDGs"
"40";"crs_DAC-1601-INV-016132";"to engender measurement of informality by testing and revising measures and developing standards to better capture and improve our understanding of women's informal work"
"41";"crs_DAC-1601-INV-016160";"to end obstetric fistula for every woman by using facial recognition technology with existing automated patient registry to better track women in low-resource settings through their identification, treatment, and reintegration into society"
"42";"crs_DAC-1601-INV-016201";"to improve our understanding of Covid-19 disease. COVID-19: Speeding access to COVID-19 data. Investment start date: 4/3/2020 to end date: 12/31/2020. Grantee name: University of Oxford"
"43";"crs_DAC-1601-INV-016365";"to provide representative data on household responses to and impacts from COVID-19 related to health, economic, education, household adaptation, sources of information, etc. for comparison across the outbreak of the disease"
"44";"crs_DAC-1601-INV-016492";"to improve food security in low-resource settings by testing whether synthetic imaging data can replace ground reference data, which is difficult to collect, train machine learning algorithms better classify crop types from satellite images"
"45";"crs_DAC-1601-INV-016494";"To help selected country governments in Kenya improve strengthen their data systems"
"46";"crs_DAC-1601-INV-016514";"To support selected countries in Sub-Saharan Africa to strengthen sub-national data systems"
"47";"crs_DAC-1601-INV-016634";"to provide support for the Census Equity Fund. COVID-19: Census Equity Fund. Investment start date: 3/26/2020 to end date: 12/31/2020. Grantee name: Philanthropy Northwest"
"48";"crs_DAC-1601-INV-016639";"to support the Risk Communications Pillar of the Nigeria Center for Disease Control (NCDC) Action Plan and Presidential Task Force (PTF) emergency response to the novel corona-virus outbreak in Nigeria"
"49";"crs_DAC-1601-INV-016807";"to build capacity for data management and modeling in Tanzania to support the country's National Malaria Control Program, and train modelers to deploy to other malaria-endemic countries"
"50";"crs_DAC-1601-INV-016867";"to provide general operating support. COVID-19: Admin Costs for Census Equity Fund. Investment start date: 4/19/2020 to end date: 12/31/2020. Grantee name: Philanthropy Northwest"
"51";"crs_DAC-1601-INV-016910";"to improve our understanding of covid-19 disease. COVID-19 CTA: Data Analytics on Cases in the Pacific Northwest. Investment start date: 4/15/2020 to end date: 3/31/2021. Grantee name: University of Washington Foundation"
"52";"crs_DAC-1601-INV-016914";"to increase the quantity and quality of individual giving data in the US, in order to build better products, tools and platforms to increase giving"
"53";"crs_DAC-1601-INV-016953";"to better understand giving through donor advised funds. 2020 GBA: DAF Data Pilot Collaborative. Investment start date: 8/7/2020 to end date: 12/31/2021. Grantee name: DePaul University"
"54";"crs_DAC-1601-INV-016988";"to accelerate MNCH-related research and information dissemination by making more priority data available through the UPenn ClinEpiDB platform, and by advancing the platform's core capabilities in data discovery, access, and analysis"
"55";"crs_DAC-1601-INV-017234";"to support leveraging high value data re-use and analytics to generate insights to solve complex and new questions around health systems resilience and social economic determinants of health"
"56";"crs_DAC-1601-INV-017293";"To advance the goals of the Therapeutic Accelerator by enabling data sharing and critical collaborative analysis across a wide range of partners."
"57";"crs_DAC-1601-INV-017529";"to support the University of Nairobi data and analytics collaboration with their response to the COVID-19 emergency and strengthening of health data analytics"
"58";"crs_DAC-1601-INV-017568";"to support COVID-19 response in Bangladesh. COVID-19: Enhancing Data Analytics for COVID Response in Bangladesh. Investment start date: 6/24/2020 to end date: 4/30/2022. Grantee name: United Nations Development Programme Bangladesh"
"59";"crs_DAC-1601-INV-017867";"to enable data collection, model development and integration of voice technologies in digital applications relevant for low income populations in Africa for finance and agriculture use cases"
"60";"crs_DAC-1601-INV-017909";"to expand the availability of gender disaggregated data for COVID, review the evidence on what works for gender responsive policymaking for the crisis, and advocate for improved gender-intentional responses and policymaking"
"61";"crs_DAC-1601-INV-018022";"to develop a cross-cutting online calendar that reflects planned and completed health service delivery campaign activities, and a knowledge hub containing key information about campaign-based delivery of goods and services"
"62";"crs_DAC-1601-INV-018560";"to evaluate pre-exposure prophylactic measures against COVID-19 disease. COVID-19 CTA: Data Sharing Study for COVID-19. Investment start date: 6/19/2020 to end date: 9/14/2021. Grantee name: Henry Ford Health System"
"63";"crs_DAC-1601-INV-019149";"to increase the capacity of Emergency Operations Centers in Burkina Faso, Cote d'Ivoire, Cameroon and Niger to respond to direct and indirect effects of COVID-19 through strengthened systems for data integration and use"
"64";"crs_DAC-1601-INV-019219";"to undertake data cleaning and report writing for primary data collected in Odisha state as part of a state wide health systems analysis at the request of state health leaders"
"65";"crs_DAC-1601-INV-019364";"to help journalists better cover the COVID-19 pandemic in Africa by building a data hub that will improve their ability to identify stories and use visualizations and interactives in their coverage"
"66";"crs_DAC-1601-INV-021366";"to support the use of big data, predictive data analysis and artificial intelligence in the response to COVID-19"
"67";"crs_DAC-1601-INV-021715";"to survey support for independent verification of bank loan to Government  of India for Tuberculosis"
"68";"crs_DAC-1601-INV-021879";"to develop serosurvey tools for cholera surveillance and ensure an accurate estimate of the burden of cholera in Bangladesh"
"69";"crs_DAC-1601-INV-021944";"to plan for the integrated development of a Data Science Initiative in Pakistan. Building a Data Science Model for LMIC - Planning grant AKU in Pakistan. Investment start date: 11/5/2020 to end date: 10/31/2022. Grantee name: Aga Khan University"
"70";"crs_DAC-1601-INV-023186";"to supplement the CGIAR Big Data Platform Inspire Challenge track on Sustaining Farm Income to source and pilot new digital technology innovations in Smart Farming benefiting small scale producer entrepreneurs"
"71";"crs_DAC-1601-INV-023270";"to measure antibody persistence to COVID infection in Mumbai. COVID-19: SARS-CoV-2 Serosurvey in Mumbai. Investment start date: 12/2/2020 to end date: 3/15/2021. Grantee name: Biotechnology Industry Research Assistance Council"
"72";"crs_DAC-1601-INV-023298";"to generate market information on malaria drugs and diagnostics by analyzing import and export data"
"73";"crs_DAC-1601-INV-023302";"to conduct in-depth analysis of existing gender data advocacy efforts that have effectively engaged policy makers to integrate gender data into specific data and measurement efforts and then to use that data advance gender equality reforms"
"74";"crs_DAC-1601-INV-023833";"to understand public perceptions of COVID-19 vaccines in Africa. Survey on Public Perceptions of COVID-19 Vaccines in Africa. Investment start date: 9/30/2020 to end date: 3/31/2021. Grantee name: London School of Hygiene and Tropical Medicine"
"75";"crs_DAC-1601-INV-023918";"to collect survey data on COVID impacts on GBV in different countries. COVID-19: UN Women multi-country survey on impact of COVID on GBV. Investment start date: 10/29/2020 to end date: 12/31/2021. Grantee name: UN Women"
"76";"crs_DAC-1601-INV-024495";"to support a survey on the disruption of COVID 19 on education. Support to REDS survey. Investment start date: 10/28/2020 to end date: 9/30/2021. Grantee name: International Association for the Evaluation of Educational Achievement"
"77";"crs_DAC-1601-INV-025027";"to support the KZN Dept of HEalth to establish a provincial health data centre to improve the control of TB and HIV in the province"
"78";"crs_DAC-1601-INV-025232";"to assess and describe the data used for day to day operational management of primary health case systems in Bangladesh and Uganda"
"79";"crs_DAC-1601-INV-025372";"to develop COVID19 synthetic data for sharing. COVID-19 CTA: Synthetic Data (Grant). Investment start date: 12/1/2020 to end date: 12/31/2021. Grantee name: Syntegra, Inc."
"80";"crs_DAC-1601-INV-025388";"to provide valuable public health information to be published in peer reviewed journals and to develop expertise among LMIC junior scientists and researchers in the field of epidemiology for statistical analyses and writing of manuscripts."
"81";"crs_DE-1-201920453";"Die Kapazitäten der Afrikanischen Union (AU) im Bereich Bürgerengagement und innovative Datennutzung sind verbessert."
"82";"crs_DE-1-202001600-4970";"Media in Nepal: Strengthening data journalism and creating local training capacities for data research, data analysis and data visualisation"
"83";"crs_DE-1-202001600-4994";"MEDIA - Our county - our responsibility!
Telling data stories - revealing citizens realities"
"84";"crs_DE-1-202095891-0";"Steigerung der steuerlichen und fiskalpolitischen Transparenz um Korruptionsanreize zu verringern, den zielgerichteten Einsatz von Steuervergünstigungen zu erleichtern und unnötige Einnahmeverluste zu minimieren mit Hilfe des Aufbaus einer globalen Datenbank."
"85";"crs_XI-IATI-CABI-KH10099";"The project aims to facilitate better data-driven decisions in the BMGF Decision Agriculture investments and the national systems where these investments operate.  The goals is to co-create tools and guidelines and produce recommendations within the data domain of soil and agronomy, in the target regions of Ethiopia and India.  The project will also work alongside Programme Officers to ensure good practice at a Foundational level.  The project will follow a 'use case' approach (where specific domains, regions or projects are chosen to encourage stakeholders to adopt best practices towards data access, management, and sharing to better support all actors in the broader 'data ecosystem', and, together with partners, they will be encouraged to act as champions and agents of change.  CABI will generate key insights into entry points, pain points, challenges and needs within the data domain and region and, as a result, we will propose incentive systems to improve practice.  Key project activities include: (a) Developing in-country engagement strategies for Ethiopia and India; (b) Developing use case-specific data ecosystem maps; (c) A series of training to improve data literacy and data management; (d) Development of a FAIR data toolkit with a set of capacity-building resources for programme officers and grantees; (e) Engagement with other donors for alignment of recommendations; (f) Supporting the implementation of the Ethiopia Soil and Agronomy Data Policy Sharing (SADS); and (g) Research pieces on the value of data governance and incentive frameworks."
"86";"crs_XM-DAC-47015-16238_Bilateral_CORNELL-CornellUniversity_IFPRI";"A $80,615 Bilateral grant from CORNELL-Cornell University to IFPRI for BIG DATA-MACHINE LEAR FTF"
"87";"crs_XM-DAC-47015-16243_Bilateral_UniversityofMinnesota_IFPRI";"A $22,000 Bilateral grant from University of Minnesota to IFPRI for DATABASE RATE PROTECT AGR"
"88";"crs_XM-DAC-47015-16201_Bilateral_Honduras-INVEST_IFPRI";"A $5,963,230 Bilateral grant from Honduras-INVEST to IFPRI for POPULATION BASED SURVEY"
"89";"crs_XM-DAC-47015-16233_Bilateral_Ethiopia-EthiopianAgriculturalTransformationAgency_IFPRI";"A $99,678 Bilateral grant from Ethiopia-Ethiopian Agricultural Transformation Agency to IFPRI for BASELINE SURVEY ATA ACC"
"90";"crs_XM-DAC-47015-12382_Windows1and2_CGIARFund_IRRI";"A $200,000 Windows 1 & 2 grant from CGIAR Fund to IRRI for Data Integration (Genebank Use Module)"
"91";"crs_XM-DAC-47015-12386_Windows1and2_CGIARFund_IRRI";"A $60,000 Windows 1 & 2 grant from CGIAR Fund to IRRI for DOIs mainstreaming and data curation (Genebank Use Module)"
"92";"crs_XM-DAC-47015-12421_Bilateral_FAO-FoodandAgricultureOrganization_IRRI";"A $8,000 Bilateral grant from FAO-Food and Agriculture Organization to IRRI for Training on Basic Experimental Design and Data Analysis (BEDDA) for the Agricultural Research and Development Centre-ARDC Bhutan"
"93";"crs_XM-DAC-47015-12433_Bilateral_Germany-GIZ-DeutscheGesellschaftfurInternationaleZusammenarbeitGmbH_IRRI";"A $75,000 Bilateral grant from Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH to IRRI for Support to the Thai-German Climate Program: Agricultural Sector - Development of a data based system on rice GHG emissions in Thailand"
